temp,result
27.7,zomers
24.4,warme
25.5,zomers
24,warme
20.7,warme
19,gemiddelde
21.3,warme
17.9,gemiddelde
16.8,gemiddelde
16.3,gemiddelde
15.2,gemiddelde
16,gemiddelde
17,gemiddelde
16.7,gemiddelde
17.6,gemiddelde
16.6,gemiddelde
16.7,gemiddelde
16.8,gemiddelde
18.3,gemiddelde
19.2,gemiddelde
19.5,gemiddelde
22.2,warme
20.5,warme
19.3,gemiddelde
18.7,gemiddelde
18.5,gemiddelde
18.1,gemiddelde
18.2,gemiddelde
25.4,zomers
18.1,gemiddelde
18.3,gemiddelde
17.9,gemiddelde
17.7,gemiddelde
21.4,warme
24.2,warme
30.7,tropisch
22,warme
22.8,warme
23.1,warme
25.1,zomers
30.6,tropisch
28.2,zomers
20.2,warme
21.4,warme
22,warme
20.9,warme
21.9,warme
19.5,gemiddelde
19.2,gemiddelde
19.3,gemiddelde
19.6,gemiddelde
18.2,gemiddelde
19.4,gemiddelde
19.4,gemiddelde
20.5,warme
22.1,warme
27,zomers
27.7,zomers
24.9,warme
28.5,zomers
28.2,zomers
29.4,zomers
21.4,warme
23.4,warme
21.6,warme
21.2,warme
20.3,warme
19.4,gemiddelde
23.9,warme
25.7,zomers
20.9,warme
19.1,gemiddelde
20.5,warme
20.8,warme
19.7,gemiddelde
20,warme
18,gemiddelde
17.2,gemiddelde
17,gemiddelde
20,warme
19,gemiddelde
18.5,gemiddelde
18.1,gemiddelde
19.2,gemiddelde
17.8,gemiddelde
19.7,gemiddelde
20.3,warme
20.1,warme
17.6,gemiddelde
17.4,gemiddelde
18.3,gemiddelde
20.7,warme
20.1,warme
21.4,warme
19.8,gemiddelde
19.6,gemiddelde
19.2,gemiddelde
21.5,warme
25.4,zomers
18.8,gemiddelde
20.7,warme
20,warme
19.9,gemiddelde
23.7,warme
20.4,warme
19.3,gemiddelde
23.1,warme
25.8,zomers
23.6,warme
19.6,gemiddelde
15.9,gemiddelde
17.4,gemiddelde
18.3,gemiddelde
17.7,gemiddelde
18.8,gemiddelde
18.9,gemiddelde
17.7,gemiddelde
21.2,warme
16.9,gemiddelde
18.5,gemiddelde
20.3,warme
18.2,gemiddelde
16.9,gemiddelde
14.3,gemiddelde
16.4,gemiddelde
15.1,gemiddelde
16.2,gemiddelde
13.9,gemiddelde
14.7,gemiddelde
13.8,gemiddelde
16.1,gemiddelde
15.7,gemiddelde
15,gemiddelde
14.5,gemiddelde
13.4,gemiddelde
15.1,gemiddelde
17.2,gemiddelde
16.1,gemiddelde
15.6,gemiddelde
14.4,gemiddelde
18.8,gemiddelde
13.4,gemiddelde
13.9,gemiddelde
13.1,gemiddelde
15.2,gemiddelde
14.6,gemiddelde
14.3,gemiddelde
11.3,gemiddelde
11,gemiddelde
13.5,gemiddelde
15.5,gemiddelde
14.9,gemiddelde
14.5,gemiddelde
14.5,gemiddelde
12.1,gemiddelde
8.9,frisse
8.5,frisse
16.2,gemiddelde
14.4,gemiddelde
13.5,gemiddelde
14.7,gemiddelde
14.4,gemiddelde
11.3,gemiddelde
10.1,gemiddelde
10.5,gemiddelde
11.3,gemiddelde
10.8,gemiddelde
13.5,gemiddelde
11.3,gemiddelde
11.7,gemiddelde
11,gemiddelde
11.4,gemiddelde
13.1,gemiddelde
12.9,gemiddelde
10.5,gemiddelde
9.1,frisse
7.9,frisse
9.2,frisse
9.6,frisse
4.2,koude
4.5,koude
3.1,koude
4.8,koude
5,frisse
8.7,frisse
9.1,frisse
10,frisse
11.8,gemiddelde
9.2,frisse
11.6,gemiddelde
8.9,frisse
7,frisse
2.3,koude
7.5,frisse
12.3,gemiddelde
10.5,gemiddelde
6.6,frisse
5.4,frisse
8.6,frisse
8.7,frisse
8.4,frisse
6.8,frisse
5.9,frisse
8.8,frisse
9,frisse
9.2,frisse
10,frisse
8.4,frisse
8.1,frisse
6.2,frisse
7.1,frisse
8.2,frisse
8.4,frisse
10.2,gemiddelde
11.1,gemiddelde
11.5,gemiddelde
11.5,gemiddelde
9,frisse
8.7,frisse
10,frisse
10,frisse
9.7,frisse
8.4,frisse
8.4,frisse
8.2,frisse
9.8,frisse
9.6,frisse
9.2,frisse
9.6,frisse
6.9,frisse
7,frisse
8.6,frisse
7.9,frisse
6.4,frisse
7.3,frisse
8.4,frisse
9,frisse
10.9,gemiddelde
9.8,frisse
10,frisse
8,frisse
10.4,gemiddelde
10.6,gemiddelde
7.3,frisse
6.4,frisse
6.7,frisse
6.9,frisse
6.1,frisse
4.8,koude
3.8,koude
2.8,koude
1.6,koude
4.1,koude
3.1,koude
2.2,koude
2.8,koude
3.2,koude
2.4,koude
4.2,koude
4.4,koude
5,frisse
5.9,frisse
4.5,koude
3.6,koude
5.7,frisse
6.9,frisse
6.9,frisse
6.7,frisse
6.9,frisse
7.6,frisse
6.7,frisse
8.3,frisse
9.1,frisse
8.2,frisse
8.6,frisse
8.8,frisse
8.9,frisse
9.4,frisse
8.6,frisse
9.3,frisse
8.7,frisse
9.2,frisse
12.6,gemiddelde
12.6,gemiddelde
10.5,gemiddelde
11.2,gemiddelde
9.4,frisse
10.3,gemiddelde
8.9,frisse
9.7,frisse
8.4,frisse
8.1,frisse
9.8,frisse
8.1,frisse
7.2,frisse
7.8,frisse
6.5,frisse
8.2,frisse
8.6,frisse
8.8,frisse
9.2,frisse
9.5,frisse
8.4,frisse
8.1,frisse
7.7,frisse
9.1,frisse
8.6,frisse
9.1,frisse
9,frisse
10.1,gemiddelde
